,business_id,cool,date,funny,review_id,stars,text,type,useful,user_id
0,vcNAWiLM4dR7D2nwwJ7nCA,1,2007-05-17,0,15SdjuK7DmYqUAj6rjGowg,5,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank.",review,2,Xqd0DzHaiyRqVH3WRG7hzg
6,vcNAWiLM4dR7D2nwwJ7nCA,0,2014-01-02,0,kMu0knsSUFW2DZXqKkGWlg,5,"Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. 
It is really easy to get an appointment. There is minimal wait to be seen and his bedside manner is great.",review,0,jE5xVugujSaskAoh2DRx3Q
7,vcNAWiLM4dR7D2nwwJ7nCA,0,2014-01-08,0,onDPFgNZpMk-bT1zlForRA,5,"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come.",review,0,QnhQ8G51XbUpVEyWY2Km-A
15,JwUE5GmEO-sH1FuwJgKBlQ,0,2011-12-29,2,SSlO5u2nIJ8PoAKAgN5m3Q,5,"Yeah, thats right a five freakin star rating.  

Five Star Truck Stop Dining At Its Finest.

Be prepared to eat.  

I was first introduced to the Pine Cone at its Johnson Creek location years ago and freaked out at the size of the awesome, delicious desserts.   Then on a recent road trip someone mentioned about eating at the Pine Cone, I thought is there really more than one?  I looked out the window to see exactly where we were at and it wasn't near Johnson Creek -- when we arrived, and I saw the bakery....I knew I was home.

It was near dinner time so I ordered stuffed chicken breast.  The dinner roll alone is a meal.  I can't say enough about dinner.  Everything is homemade. They don't add alot of salt, if any.  You can tell its fresh.  Its plentiful.  Its cheap.  You literally can stuff yourself for next to nothing.

You can't possibly leave this place without indulging on some bakery goods to take home, IF they can make it home.  In our case, they were safely packed in the trunk for our safety and yours.  The last thing we need to explain to the police is we were under the influence of bakery goods from the Pine Cone.",review,5,Au3Qs-AAZEWu2_4gIMwRgw
18,JwUE5GmEO-sH1FuwJgKBlQ,1,2012-02-13,2,rgM9f8Xh6ySclVoOSR8MXw,5,"i rarely give five star reviews but for what this restaurant is, it's pretty perfect.  i've only eaten breakfast here (twice in the last three weeks) and the eggs are cooked perfectly, the sourdough toast is made in the kitchen and is delicious, and the bacon was perfectly crispy.  the hashbrowns are the best i've had in a long time - perfectly crispy on the outside and fluffy inside.  the pancakes are huge and light and amazing.  the cinnamon rolls taste just as good as they look.

prices are right on, baked goods are pretty great.  service is fast and friendly - really fast.  i haven't had to wait more than 5 minutes to get my meal.  i might be in the honeymoon phase, but perfectly cooked poached eggs or over easy eggs are hard to come by!  it shouldn't be an anomaly to discover well cooked food, but i suppose it is.  sure it's a ""greasy spoon"" but how many greasy spoons bake their own bread?  can't recommend this place enough for great breakfasts.",review,4,MPKMK36Xp0GuaWaXlUwZ8Q
21,JwUE5GmEO-sH1FuwJgKBlQ,0,2012-03-12,0,Vqkv071v8vLA2ux8aOeICQ,5,"hands down one of the best breakfasts my wife and i have had. stopped in here based on the positive reviews from fellow yelpers and was sure glad i did. 

this is a good sized diner at a truck stop. the first thing that caught our eye was the pastries - they were all huge and all looked great. tip - be sure to save space for at least one. 

i went with the cinnamon roll french toast and was very pleased. very large portion and great taste - go witht the sausage patty over the links. people behind us had links on their plate and they didnt look too appetzing. the patty was good. 

wife went with a chicken friend steak, eggs, and hashbrowns. hashbrowns left a bit to desire but they get bonus points for being real potatoes and fresh. 

overall, great experience and we were in and out in 35 mins so we could continue out journey. looking forward to stopping here again sometime soon.",review,1,MDiCwtVo-Aq9cD5bAKd8Lw
24,JwUE5GmEO-sH1FuwJgKBlQ,0,2013-05-07,0,kAFG3i8DsfTkJePPEMc9Ig,5,"Don't be fooled because it's in a truck stop, truckers know where there are good places to eat. Stop here just for the desserts, I bought an eclair that must have weighed a pound, delicious, like they are supposed to be made. Cream Puffs look like they wouldn't fit in a one pound coffee can... grin. Don't miss this place...",review,0,Bld8sdbL48rJzVXo4yMYWA
26,JwUE5GmEO-sH1FuwJgKBlQ,0,2013-10-28,1,DAFwq9T6sKDYiyQHiAzVbQ,5,Some times Jane and Michael Stern are on point and other times the story of the place beats the food.  I would definitely return to the Pine Cone.  It's a bakery and diner attached to a truck stop on the Wisconsin highway.  I live in Chicago and work in a famous Mexican restaurant and I get up to Wisconsin for the old school steak and butter as much as possible: it gives me the energy to do my job.  Pine Cone has eclairs and cream puffs the size of my cat.  And I got a pig cookie.  This little truck stop gives me the big energy to get even deeper into steak and butter territory.,review,0,nJ_6gzvBj0mF943eWZ0cSw
28,JwUE5GmEO-sH1FuwJgKBlQ,0,2014-07-02,0,rYKHcfBvFjqd5qvbX700_Q,5,This place was excellent. We were a little nervous because it is in a truck stop but the food was absolutely delicious and the service was fast and friendly.,review,0,IXANAoF_6OOFdDwjpGZpQg
29,JwUE5GmEO-sH1FuwJgKBlQ,0,2014-07-06,0,xpQe4tiCdZuQdmQsgtMErA,5,"OMG!  The bakery items at Pinecone are AMAZING!   Cinnamon rolls as big as your head and absolutely scrumptious!   The food in the restaurant is great for truck stop food.  We've only come for breakfast but stop every single time we head up to Rhinelander,  WI.  Do NOT miss this place if even only for their baked goods!",review,0,LDrpATl7viHfGGeUKzPeZA
